week,distance,change,elap30,PAT,type,field,wind,good
1,20,0,19,1,0,0,0,1
1,46,0,10.4167,0,0,0,0,1
1,20,0,6.6667,1,0,0,0,1
1,49,0,0,0,0,0,0,1
1,20,0,21.3,1,0,0,0,1
1,20,0,2.8667,1,0,0,0,1
1,20,0,19.0667,1,1,1,0,1
1,20,1,18.7167,1,1,1,0,1
1,20,0,6.5167,1,1,1,0,1
1,20,1,1.2,1,1,1,0,1
1,21,0,3.6,0,1,1,0,1
1,20,0,21.7167,1,1,1,0,1
1,36,0,7.25,0,1,1,0,0
1,19,0,24.6333,0,1,1,0,1
1,26,0,3.0333,0,1,1,0,1
1,20,0,26.9333,1,1,0,0,1
1,20,0,11.9667,1,1,0,0,1
1,20,0,26.05,1,1,0,0,1
1,20,0,12.55,1,1,0,0,1
2,42,0,20.4,0,1,1,0,1
2,20,0,10.9333,1,1,1,0,1
2,20,1,1.3667,1,1,1,0,1
2,23,1,0,0,1,1,0,1
2,43,1,14.1833,0,1,1,1,1
2,23,0,10.7833,0,1,1,1,1
2,20,0,0.2667,1,1,1,1,1
2,20,0,7.0833,0,1,1,1,1
2,51,1,24.2667,0,1,1,0,0
2,20,0,6.8167,1,1,1,0,1
2,21,0,0.5167,0,1,1,0,1
2,20,0,27.3167,1,1,1,0,1
2,29,0,17.5167,0,1,1,0,1
2,20,0,11.3167,1,1,1,0,1
2,20,0,9.1667,1,1,1,0,1
2,20,0,3.8833,1,1,1,0,1
2,34,1,9.15,0,1,0,0,1
2,52,0,4.95,0,1,0,0,1
2,32,0,27.6,0,1,0,0,1
2,20,0,26.8167,1,1,0,0,1
2,20,0,21.0833,1,1,0,0,1
2,20,0,18.7,1,1,0,0,1
2,20,0,17.05,1,1,0,0,1
2,20,0,28.8167,1,0,0,0,1
2,43,0,22.3333,0,0,0,0,1
2,20,0,18.1,1,0,0,0,1
2,42,0,0.0333,0,0,0,0,1
2,20,0,27.15,1,0,0,0,1
2,20,0,19.1167,1,0,0,0,1
2,20,0,5.0333,1,0,0,0,1
2,20,0,2.7,1,0,0,0,1
2,40,0,0.2333,0,0,0,0,1
2,20,0,23.6167,1,1,1,0,1
2,20,1,10.5167,1,1,1,0,1
2,20,0,13.6833,1,1,1,0,1
2,28,0,11.6833,0,1,0,0,1
2,36,0,6.6167,0,1,0,0,0
2,20,0,0.45,0,1,0,0,1
2,20,0,28.2333,1,1,0,0,1
2,20,0,17.1833,1,1,0,0,1
2,20,0,8.7667,1,1,0,0,1
2,20,1,2.6333,1,1,0,0,1
2,52,1,0,0,1,0,0,1
2,22,1,22.35,0,1,1,1,1
2,20,0,17.6667,1,1,1,1,1
2,54,0,10.5333,0,1,1,1,0
2,20,0,2.3667,1,1,1,1,1
2,20,0,13.1167,1,1,0,0,1
2,20,0,6.3833,1,1,0,0,1
2,20,0,0.9667,1,1,0,0,1
2,20,0,14.3,1,1,0,0,1
2,45,0,11.1167,0,1,0,0,1
2,20,0,0.7833,1,1,0,0,1
2,42,1,24.85,0,1,0,0,1
2,20,0,23.7167,1,1,0,0,1
2,20,0,0.2667,1,1,0,0,1
2,29,1,27.3,0,1,0,0,1
2,20,0,23.2333,1,1,0,0,1
2,48,0,18.2833,0,1,0,0,0
2,20,0,13.2667,1,1,0,0,1
2,20,0,7.3333,1,1,0,0,1
2,20,0,22.5,1,0,0,0,1
2,20,1,18.85,1,0,0,0,1
2,33,1,16.7833,0,0,0,0,1
2,40,1,1.4667,0,0,0,0,0
2,27,1,15.7167,0,0,0,0,1
2,20,0,4.6667,1,0,0,0,1
2,20,0,23.6833,1,1,1,0,1
2,20,0,15.55,1,1,1,0,1
2,32,0,0.35,0,1,1,0,1
2,38,0,21.35,0,1,1,0,1
2,20,0,15.4667,1,1,1,0,1
2,20,0,11.95,1,1,1,0,1
3,21,1,16.3167,0,0,0,0,1
3,20,0,10.15,1,0,0,0,1
3,41,0,0.2833,0,0,0,0,1
3,20,0,21.7167,1,0,0,0,1
3,19,1,25.6,0,0,0,0,1
3,21,0,16.2667,0,0,0,0,1
3,20,1,13.2833,1,0,0,0,1
3,33,1,7.0333,0,0,0,0,1
3,46,0,22.3667,0,0,0,0,1
3,20,1,18.6833,1,0,0,0,1
3,20,0,14.25,1,0,0,0,1
3,21,1,0,0,0,0,0,1
3,20,0,25.6167,1,0,0,0,1
3,20,1,20.7667,1,0,0,0,1
3,38,1,14.9167,0,0,0,0,0
3,53,1,4.5,0,0,0,0,0
3,20,0,1.1667,1,0,0,0,1
3,38,0,0,0,0,0,0,1
3,20,0,12.6833,1,0,0,0,1
3,20,0,6.7333,1,0,0,0,1
3,20,0,3.3,1,0,0,0,1
3,49,1,1.3,0,0,0,0,0
3,41,0,1.75,0,0,0,0,0
3,20,1,12.2833,1,0,0,0,1
3,20,0,9.2833,1,0,0,0,1
3,20,0,22.25,1,1,0,0,1
3,20,1,15.3333,1,1,0,0,1
3,20,0,6.3,1,1,0,0,1
3,20,1,4.6,1,1,0,0,1
3,35,1,22.8333,0,1,0,0,1
3,39,1,8.0167,0,1,0,0,0
3,38,0,4.45,0,1,0,0,1
3,20,0,25.05,1,1,0,0,1
3,20,0,7.7,0,1,0,0,1
3,34,0,1.2167,0,1,0,0,1
3,48,0,0.0833,0,1,0,0,1
3,20,0,22.8667,1,1,0,0,1
3,20,0,17.9333,1,1,0,0,1
3,20,0,1.1,1,1,0,0,1
3,34,1,25.1167,0,1,1,0,0
3,43,1,2.3,0,1,1,0,1
3,20,0,0.5833,1,1,1,0,1
3,20,0,25.4,1,1,1,0,1
3,20,0,14.9667,1,1,1,0,1
3,20,0,5.55,1,1,1,0,1
3,20,0,21.1667,1,1,0,0,1
3,20,0,14.9333,1,1,0,0,1
3,20,0,13.1667,1,1,0,0,1
3,43,0,7.4833,0,1,0,0,0
3,20,0,28.3,1,1,0,0,1
3,20,0,12.9167,1,1,1,0,1
3,39,0,6.6667,0,1,1,0,0
3,20,0,4.9833,1,1,1,0,1
3,45,0,0,0,1,1,0,1
3,20,0,20.6,1,1,1,0,1
3,34,0,16.3,0,1,1,0,1
3,32,0,5.75,0,1,1,0,0
3,20,0,5.6167,1,1,1,0,1
3,43,1,10.15,0,1,1,0,1
3,37,1,5.8,0,1,1,0,1
3,22,0,0.1667,0,1,1,0,1
3,20,0,28.5833,1,1,1,0,1
3,40,0,19.6333,0,1,1,0,1
3,27,0,3.2167,0,1,1,0,1
3,30,1,21.8167,0,1,1,0,0
3,20,0,13.2333,0,1,1,0,1
3,20,0,1.8333,1,1,1,0,1
3,20,0,0.1833,1,1,1,0,1
3,20,0,26.0167,1,1,1,0,1
3,21,1,17.8667,0,1,1,0,1
3,20,0,4.8833,1,1,1,0,1
3,20,1,1.1167,1,1,1,0,1
3,20,0,21.4667,1,0,0,0,0
3,42,0,17.2333,0,0,0,0,1
3,20,0,14.15,1,0,0,0,1
3,39,0,7.2,0,0,0,0,1
3,48,0,2,0,0,0,0,0
3,20,1,23,0,0,0,0,0
3,20,1,0.5,1,0,0,0,1
3,20,0,25.1667,1,1,1,0,1
3,20,0,9.1,1,1,1,0,1
3,37,0,5.7667,0,1,1,0,1
3,32,0,3.35,0,1,1,0,1
3,37,1,23.1333,0,1,1,0,1
3,20,0,14.15,1,1,1,0,1
3,40,0,2.4,0,1,1,0,1
3,20,0,0.7833,1,1,1,0,1
3,39,0,24.6333,0,1,1,0,1
3,52,0,22.3833,0,1,1,0,0
3,21,0,12.9,0,1,1,0,1
3,20,0,6.9167,1,1,1,0,1
4,28,0,0.3333,0,1,1,0,1
4,20,1,25.5333,1,1,1,0,1
4,20,0,14.8833,1,1,1,0,1
4,37,1,23.5,0,0,0,0,1
4,37,1,15.3833,0,0,0,0,1
4,36,0,23.3833,0,0,0,0,1
4,20,0,25.1667,1,1,0,0,1
4,20,1,22.7,1,1,0,0,1
4,20,1,7.1833,0,1,0,0,1
4,20,0,2.15,1,1,0,0,1
4,50,0,0,0,1,0,0,1
4,20,0,27.1,1,1,0,0,1
4,20,0,16.4833,1,1,0,0,1
4,20,0,11.55,1,1,0,0,0
4,20,0,4.5833,1,1,0,0,1
4,32,1,9.0667,0,1,0,0,1
4,33,0,5.8,0,1,0,0,1
4,35,0,1.9333,0,1,0,0,1
4,43,0,0,0,1,0,0,1
4,20,0,29.6,1,1,0,0,1
4,20,0,27.3667,1,1,0,0,1
4,20,0,23.6333,1,1,0,0,1
4,40,0,20.8833,0,1,0,0,1
4,20,0,7.6,1,1,0,0,1
4,37,1,24.45,0,1,1,0,0
4,20,0,15.4833,1,1,1,0,1
4,25,0,0.6333,0,1,1,0,1
4,48,0,26.4333,0,1,1,0,0
4,20,0,4.75,1,1,1,0,1
4,20,0,4.4333,1,1,1,0,1
4,20,0,0.2333,1,1,1,0,1
4,20,0,24.25,1,1,0,0,1
4,20,0,7.2333,1,1,0,0,1
4,20,0,1.2,1,1,0,0,1
4,20,0,28.55,1,1,0,0,1
4,20,0,23.4333,1,1,0,0,1
4,41,0,21.4,0,1,0,0,1
4,23,1,9.7,0,1,1,0,1
4,20,0,2.7,1,1,1,0,1
4,52,0,26.3167,0,1,1,0,1
4,20,0,13.7667,1,1,1,0,1
4,45,0,5,0,1,1,0,1
4,20,0,29.0833,1,1,0,0,1
4,45,0,18.5833,0,1,0,0,1
4,20,0,7.9333,1,1,0,0,1
4,20,0,4.4667,1,1,0,0,1
4,20,0,0.7833,1,1,0,0,1
4,20,0,15.9,1,1,0,0,1
4,20,0,23.7,1,1,0,0,1
4,31,0,11.2,0,1,0,0,1
4,20,0,9.3833,1,1,0,0,1
4,20,0,6.9667,1,1,0,0,1
4,25,0,1.05,0,1,0,0,1
4,30,0,20.6333,0,1,0,0,1
4,20,0,2.6167,1,1,0,0,1
4,20,0,0.7667,1,1,0,0,1
4,47,1,20.6333,0,1,1,0,0
4,49,1,11.1167,0,1,1,0,1
4,20,0,0.9333,1,1,1,0,1
4,20,0,19.6333,1,1,1,0,1
4,20,0,14.05,1,1,1,0,1
4,20,0,5.8667,1,1,1,0,1
4,20,0,1.0333,1,1,1,0,1
4,47,1,24.05,0,0,0,0,0
4,30,1,17.4333,0,0,0,0,1
4,20,0,13.7333,1,0,0,0,1
4,23,0,9.8833,0,0,0,0,1
4,20,0,1.8167,1,0,0,0,1
4,18,0,24.3167,0,0,0,0,1
4,20,1,19.85,1,0,0,0,1
4,20,1,5.8833,1,0,0,0,1
4,32,1,1.2,0,0,0,0,1
5,20,0,26.1,1,1,1,0,1
5,20,1,10.6167,1,1,1,0,1
5,25,1,8.1167,0,1,1,0,1
5,27,0,0,0,1,1,0,1
5,20,1,23.3,1,1,1,0,0
5,20,0,14.95,1,1,1,0,1
5,20,0,23.95,1,1,0,0,1
5,20,0,21.1667,1,1,0,0,1
5,20,0,16.55,1,1,0,0,1
5,20,0,0.8,1,1,0,0,1
5,28,0,14.85,0,1,0,0,1
5,37,1,26.5667,0,1,1,0,1
5,22,1,18.0833,0,1,1,0,1
5,20,0,1.95,1,1,1,0,1
5,20,0,0.4333,1,1,1,0,1
5,46,0,22.9833,0,1,1,0,1
5,32,0,15.9667,0,1,1,0,1
5,34,1,18.6,0,0,0,0,1
5,20,0,15.2333,1,0,0,0,1
5,54,0,11.2,0,0,0,0,1
5,31,0,1.2333,0,0,0,0,1
5,27,1,21,0,0,0,0,1
5,32,1,9.7,0,0,0,0,1
5,33,0,4.0833,0,0,0,0,1
5,20,0,1.75,1,0,0,0,1
5,20,0,7.6,1,1,0,1,1
5,36,0,21,0,1,0,1,1
5,20,1,19,1,1,0,1,1
5,35,1,10.05,0,1,0,1,1
5,20,0,1.05,1,1,0,1,1
5,45,1,0.0333,0,1,0,1,0
5,20,0,14.7833,1,1,1,0,1
5,20,0,7.0833,1,1,1,0,1
5,28,0,18.65,0,1,1,0,1
5,48,0,14.3833,0,1,1,0,1
5,20,0,26.2333,1,0,0,0,1
5,22,0,21.5,0,0,0,0,1
5,29,0,6.5833,0,0,0,0,1
5,53,0,0.05,0,0,0,0,1
5,20,0,23.3333,1,0,0,0,1
5,32,0,14.1833,0,0,0,0,1
5,20,1,1.05,1,0,0,0,1
5,52,1,0,0,0,0,0,0
5,32,1,25.8667,0,1,1,0,1
5,38,1,22.0833,0,1,1,0,1
5,20,0,18.4167,1,1,1,0,1
5,20,1,14.9167,1,1,1,0,1
5,46,1,6.1167,0,1,1,0,1
5,20,0,23.6333,1,1,1,0,1
5,34,0,18.4333,0,1,1,0,1
5,20,0,13.5833,1,1,1,0,1
5,23,0,4.3333,0,1,1,0,1
5,23,1,10.8167,0,0,0,0,0
5,48,1,7.2167,0,0,0,0,0
5,20,0,1.7,1,0,0,0,1
5,52,0,0.3333,0,0,0,0,0
5,20,0,22.6333,1,0,0,0,1
5,30,0,17.5833,0,0,0,0,1
5,20,0,10.8333,1,0,0,0,1
5,20,0,7.8,1,0,0,0,1
5,34,1,25.7833,0,0,0,0,1
5,20,1,15.9667,0,0,0,0,1
5,20,1,22.3167,1,0,0,0,1
5,42,0,7.4,0,0,0,0,1
5,20,0,24.9333,1,1,1,0,1
5,20,1,21.8167,1,1,1,0,1
5,38,1,15.8333,0,1,1,0,1
5,43,1,11.55,0,1,1,0,0
5,32,1,0.3,0,1,1,0,1
5,31,1,26.1667,0,1,1,0,1
5,47,1,21.9833,0,1,1,0,1
5,23,1,18.9333,0,1,1,0,1
5,22,1,14.3167,0,1,1,0,0
5,20,0,6.5,1,1,1,0,0
5,38,1,3.8167,0,1,1,0,1
5,33,1,0.0833,0,1,1,0,1
6,20,0,27.5167,1,1,0,0,1
6,20,0,21.4833,1,1,0,0,1
6,40,1,17.5333,0,1,0,0,1
6,20,0,13.2667,1,1,0,0,1
6,20,1,3.1167,1,1,0,0,1
6,20,0,0.1,1,1,0,0,1
6,20,1,25.3667,1,1,0,0,1
6,20,0,19.6667,1,1,0,0,1
6,47,0,15.7333,0,1,0,0,0
6,43,0,11.1167,0,1,0,0,1
6,20,0,7.2167,1,1,0,0,1
6,46,1,0.8667,0,1,0,0,1
6,35,1,0,0,1,0,0,1
6,20,0,20.2,1,1,1,0,1
6,20,0,18.35,1,1,1,0,1
6,51,0,16.6667,0,1,1,0,1
6,37,0,10.8167,0,1,1,0,1
6,31,0,2.4,0,1,1,0,1
6,20,0,22.6333,1,1,1,0,1
6,20,0,15.9167,1,1,1,0,1
6,20,0,25.7167,1,0,0,0,1
6,20,0,2.8833,1,0,0,0,1
6,20,0,13.5,1,0,0,0,1
6,38,0,5.8167,0,0,0,0,1
6,34,1,22.2667,0,1,1,0,1
6,47,1,13.5167,0,1,1,0,0
6,20,0,5.25,1,1,1,0,1
6,45,0,2.25,0,1,1,0,1
6,27,0,22.05,0,1,1,0,1
6,44,0,18.85,0,1,1,0,1
6,20,0,9.9333,1,1,1,0,1
6,33,1,3.6333,0,1,1,0,1
6,53,1,0.4833,0,1,1,0,1
6,20,0,22.8,1,1,1,0,1
6,21,0,15.8667,0,1,1,0,1
6,20,0,7.6,1,1,1,0,1
6,20,0,1.0667,1,1,1,0,1
6,49,0,0.05,0,1,1,0,1
6,20,0,13.8667,1,1,1,0,1
6,20,0,9.3667,1,1,1,0,1
6,20,0,2.6167,1,1,1,0,1
6,23,1,24.4833,0,1,0,0,1
6,20,0,9.0167,1,1,0,0,1
6,36,0,24.1,0,1,0,0,1
6,20,1,19.1333,1,1,0,0,1
6,20,1,12.8833,1,1,0,0,1
6,50,1,0.3833,0,1,0,0,0
6,20,0,25.3,1,1,1,0,1
6,20,0,14.0333,1,1,1,0,1
6,20,0,1.9667,1,1,1,0,1
6,53,0,0.5333,0,1,1,0,1
6,32,0,21.05,0,1,1,0,1
6,19,0,18.25,0,1,1,0,1
6,22,0,14.8667,0,1,1,0,1
6,38,1,20.7667,0,1,0,0,1
6,26,1,7.95,0,1,0,0,1
6,24,1,3.9667,0,1,0,0,1
6,32,0,0.4333,0,1,0,0,1
6,20,0,0.2667,1,1,0,0,1
6,20,0,24.05,1,1,0,0,1
6,51,0,22.2667,0,1,0,0,1
6,33,0,15.35,0,1,0,0,0
6,20,0,9.85,1,1,0,0,1
6,27,0,5.9333,0,1,0,0,1
6,20,0,24.9167,1,1,1,0,1
6,20,0,17.8167,1,1,1,0,1
6,21,0,13.0667,0,1,1,0,1
6,20,0,5,1,1,1,0,1
6,51,0,0.2833,0,1,1,0,1
6,27,0,9.9333,0,1,1,0,0
6,20,1,1.15,1,1,1,0,1
6,49,1,0.1,0,1,1,0,0
6,27,1,0,0,1,1,0,1
6,19,1,20.2167,0,0,0,0,1
6,38,1,14.8667,0,0,0,0,1
6,50,1,10.0833,0,0,0,0,1
6,20,0,5.4833,1,0,0,0,1
6,20,0,2.4167,1,0,0,0,1
6,44,1,6.6667,0,0,0,0,1
6,21,1,13.4,0,1,1,0,1
6,20,0,11.4,1,1,1,0,1
6,20,0,3.8833,1,1,1,0,1
6,36,1,0.0333,0,1,1,0,1
6,49,1,12.3167,0,1,1,0,1
6,20,0,6.8333,1,1,1,0,1
6,29,0,1.2,0,1,1,0,1
7,50,1,18.5667,0,1,0,1,0
7,20,0,12.7167,1,1,0,1,1
7,20,1,5.6333,1,1,0,1,1
7,20,0,22.8833,1,1,0,1,1
7,20,0,20.85,1,1,0,1,1
7,26,0,12.8,0,1,0,1,1
7,20,0,4.2833,1,1,0,1,1
7,20,0,10.0667,1,1,0,0,1
7,21,0,0.0333,0,1,0,0,1
7,45,0,23.1167,0,1,0,0,0
7,40,0,10.4167,0,1,0,0,1
7,32,1,20.8833,0,0,0,0,1
7,20,0,10.8833,1,0,0,0,1
7,46,0,2.8833,0,0,0,0,1
7,51,1,7.65,0,0,0,0,1
7,46,1,0.7667,0,0,0,0,0
7,23,1,27,0,1,1,0,1
7,43,0,21.1167,0,1,1,0,0
7,50,1,4.2833,0,1,1,0,1
7,20,0,3.2833,1,1,1,0,1
7,20,1,0.2167,1,1,1,0,1
7,20,0,21.05,1,1,1,0,1
7,30,0,1.0667,0,1,1,0,1
7,27,1,25.7667,0,1,1,0,1
7,20,0,21.65,1,1,1,0,1
7,29,1,9.0167,0,1,1,0,1
7,20,0,5.3667,1,1,1,0,1
7,20,0,3.1333,1,1,1,0,1
7,20,0,25,0,1,1,0,1
7,20,0,6.7667,1,1,1,0,1
7,20,0,2.1167,1,1,1,0,1
7,51,1,28.2833,0,1,1,0,1
7,20,0,23,1,1,1,0,1
7,20,0,0.4333,1,1,1,0,1
7,43,0,0,0,1,1,0,1
7,36,0,19.6,0,1,1,0,1
7,23,1,0.9333,0,1,1,0,1
7,53,1,0,0,1,1,0,0
7,51,1,0,0,1,1,0,1
7,54,0,23.95,0,0,0,0,0
7,47,0,20.3333,0,0,0,0,0
7,52,0,4.4,0,0,0,0,0
7,20,0,0.1167,0,0,0,0,1
7,20,0,26.25,1,0,0,0,0
7,20,0,21.7167,1,0,0,0,1
7,20,0,19.8167,1,0,0,0,1
7,20,0,12,1,0,0,0,1
7,42,1,20.7,0,1,1,0,1
7,43,0,6.8333,0,1,1,0,1
7,20,0,27.4167,1,1,1,0,1
7,20,0,21.9667,1,1,1,0,1
7,20,0,19.0833,1,1,1,0,1
7,20,0,13.8333,1,1,1,0,1
7,20,0,7.9667,0,1,1,0,1
7,20,0,19.5,1,1,1,0,1
7,20,0,3.9667,1,1,1,0,1
7,30,0,5.45,0,1,1,0,1
7,25,1,20.3333,0,1,1,0,1
7,20,0,15.1333,1,1,1,0,1
7,49,0,3.9667,0,1,1,0,1
7,20,1,1.25,1,1,1,0,1
7,20,0,24.1833,1,1,1,0,1
7,20,0,14.3667,1,1,1,0,1
7,20,0,12.4667,1,1,1,0,1
7,40,0,8.75,0,1,1,0,1
7,20,0,0.45,1,1,1,0,1
7,54,1,0,0,1,1,0,0
7,20,0,16.75,1,1,0,0,1
7,20,0,11.15,1,1,0,0,1
7,28,0,3.0833,0,1,0,0,0
7,20,0,3.0833,1,1,0,0,1
7,40,0,0,0,1,0,0,1
7,48,0,22.45,0,1,0,0,0
7,45,0,11.9667,0,1,0,0,1
8,44,0,7.4,0,1,0,0,1
8,48,0,0.0333,0,1,0,0,1
8,20,0,27.1333,1,1,0,0,1
8,20,0,17.15,1,1,0,0,1
8,20,1,13.0833,1,1,0,0,1
8,20,1,18.2167,1,0,0,0,0
8,48,0,4.7333,0,0,0,0,1
8,20,0,1.9,1,0,0,0,1
8,20,0,14.4,1,0,0,0,1
8,27,0,10.5,0,0,0,0,1
8,29,1,13.4167,0,1,1,0,1
8,45,1,4.8667,0,1,1,0,1
8,20,0,22.65,1,1,1,0,1
8,20,0,19.2833,1,1,1,0,1
8,37,0,12.6833,0,1,1,0,1
8,20,0,20.7333,1,1,1,0,1
8,20,1,18.5167,1,1,1,0,1
8,35,1,9.7667,0,1,1,0,0
8,20,0,2.75,1,1,1,0,1
8,20,0,24.3333,1,1,1,0,1
8,20,0,18.7,1,1,1,0,1
8,20,0,15.8833,1,1,1,0,0
8,29,0,4.8667,0,1,1,0,1
8,20,0,0.8167,1,1,1,0,1
8,21,0,19.4,0,1,1,0,1
8,31,0,1.1667,0,1,1,0,1
8,28,1,27.7,0,1,1,0,1
8,22,0,20.2833,0,1,1,0,1
8,20,0,17.7333,1,1,1,0,1
8,20,0,12.9667,1,1,1,0,1
8,47,0,4.6,0,1,1,0,1
8,20,0,0.1333,1,1,1,0,1
8,20,0,21.3667,1,1,1,0,1
8,39,0,17.1833,0,1,1,0,1
8,20,0,10.3,1,1,1,0,1
8,20,0,2.3833,1,1,1,0,1
8,26,1,24.6,0,1,1,0,1
8,20,0,12.6167,1,1,1,0,1
8,20,0,8.3,0,1,1,0,1
8,20,1,1.0833,1,1,1,0,1
8,49,1,0,0,1,1,0,0
8,20,0,19.9833,1,1,1,0,1
8,20,1,15.7667,1,1,1,0,1
8,39,1,9.9833,0,1,1,0,1
8,20,0,5.4333,1,1,1,0,1
8,20,0,3.35,1,1,1,0,1
8,39,1,0.0667,0,1,1,0,1
8,20,0,17.1833,1,1,1,0,1
8,20,1,14.8167,1,1,1,0,1
8,20,0,8.55,1,1,1,0,1
8,20,1,4.1833,1,1,1,0,1
8,20,1,21.2333,1,1,1,0,1
8,39,1,1.7333,0,1,1,0,0
8,30,1,7.3,0,1,1,0,1
8,25,0,21.5333,0,1,0,0,1
8,38,0,12.9167,0,1,0,0,1
8,20,0,4.1333,1,1,0,0,1
8,30,0,1.6833,0,1,0,0,0
8,20,0,27.4833,1,1,0,0,0
8,20,0,26.3167,1,1,0,0,1
8,20,0,17.5333,1,1,0,0,1
8,20,0,2.4833,1,1,0,0,1
8,20,0,25.8333,1,1,1,1,1
8,20,1,20.8333,1,1,1,1,1
8,20,0,13.8833,1,1,1,1,1
8,51,0,8.9667,0,1,1,1,0
8,20,1,1,1,1,1,1,1
8,37,1,0.2,0,1,1,1,0
8,20,0,11.85,1,1,1,1,1
8,20,0,11.05,1,1,1,1,1
8,20,0,5.2167,1,1,1,1,1
8,39,1,25.5333,0,1,0,0,0
8,36,1,11.4667,0,1,0,0,0
8,20,0,9.1,1,1,0,0,1
8,31,0,0.2833,0,1,0,0,1
8,20,0,25.9333,1,1,0,0,1
8,28,0,22.8167,0,1,0,0,1
8,20,0,19.6167,1,1,0,0,1
8,38,0,14.8333,0,1,0,0,1
8,23,0,7.7333,0,1,0,0,1
8,20,0,25.5667,1,1,1,0,1
8,23,0,22.4333,0,1,1,0,1
8,23,0,16.4167,0,1,1,0,1
8,20,0,9.9333,1,1,1,0,1
8,20,0,1.95,1,1,1,0,1
8,42,0,18.9833,0,1,1,0,0
8,24,0,6.3833,0,1,1,0,1
9,20,0,13,1,1,0,1,1
9,20,0,0.1333,0,1,0,1,1
9,62,0,0,0,1,0,1,0
9,32,0,22.95,0,1,0,1,0
9,29,0,17.4333,0,1,0,1,1
9,20,0,6.2667,1,1,0,1,1
9,20,0,23.1,1,1,1,0,1
9,20,0,22.8667,1,1,1,0,1
9,20,1,11.1333,1,1,1,0,1
9,27,1,0,0,1,1,0,0
9,44,0,19.9667,0,1,0,0,1
9,37,1,1.1333,0,1,0,0,1
9,36,1,0.15,0,1,0,0,1
9,63,1,0,0,1,0,0,0
9,38,1,23.9167,0,1,0,0,1
9,20,0,20.5333,1,1,0,0,1
9,20,0,5.5833,1,1,0,0,1
9,20,0,2.85,1,1,0,0,1
9,20,1,0.25,1,1,0,0,1
9,24,1,22.4167,0,1,1,0,1
9,32,1,14.8667,0,1,1,0,1
9,20,0,20.05,1,1,1,0,1
9,20,0,11.5833,1,1,1,0,1
9,22,0,1.9333,0,1,1,0,1
9,42,1,26.4333,0,0,0,0,1
9,46,1,21.7,0,0,0,0,1
9,20,0,4.4333,1,0,0,0,1
9,20,0,0,1,0,0,0,1
9,20,0,11.75,1,0,0,0,1
9,20,0,27.2167,1,1,1,0,1
9,20,0,10.85,1,1,1,0,1
9,20,0,9.2,1,1,1,0,1
9,31,0,1.1,0,1,1,0,1
9,52,0,0.0833,0,1,1,0,1
9,27,0,13.6,0,1,1,0,1
9,37,1,20.9667,0,1,1,0,0
9,20,0,14.9167,1,1,1,0,1
9,20,0,7.7667,0,1,1,0,1
9,43,0,1.8667,0,1,1,0,0
9,28,0,11.5833,0,1,1,0,0
9,20,0,19.2833,1,1,0,1,1
9,20,0,14.8833,1,1,0,1,1
9,36,0,12.5333,0,1,0,1,1
9,20,0,14.9333,0,0,0,0,1
9,20,0,14.5667,1,0,0,0,1
9,20,0,3.55,1,0,0,0,1
9,20,0,0.95,1,0,0,0,1
