Macrotrends Data Download

Initial Jobless Claims Historical Chart

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1985-12-01,390000.000
1986-01-01,344000.000
1986-02-01,390000.000
1986-03-01,396000.000
1986-04-01,391000.000
1986-05-01,373000.000
1986-06-01,371000.000
1986-07-01,362000.000
1986-08-01,401000.000
1986-09-01,389000.000
1986-10-01,370000.000
1986-11-01,366000.000
1986-12-01,345000.000
1987-01-01,370000.000
1987-02-01,348000.000
1987-03-01,326000.000
1987-04-01,328000.000
1987-05-01,326000.000
1987-06-01,326000.000
1987-07-01,324000.000
1987-08-01,322000.000
1987-09-01,317000.000
1987-10-01,289000.000
1987-11-01,306000.000
1987-12-01,316000.000
1988-01-01,342000.000
1988-02-01,319000.000
1988-03-01,304000.000
1988-04-01,313000.000
1988-05-01,313000.000
1988-06-01,307000.000
1988-07-01,331000.000
1988-08-01,315000.000
1988-09-01,301000.000
1988-10-01,294000.000
1988-11-01,299000.000
1988-12-01,304000.000
1989-01-01,295000.000
1989-02-01,300000.000
1989-03-01,319000.000
1989-04-01,311000.000
1989-05-01,325000.000
1989-06-01,338000.000
1989-07-01,337000.000
1989-08-01,332000.000
1989-09-01,347000.000
1989-10-01,354000.000
1989-11-01,342000.000
1989-12-01,358000.000
1990-01-01,345000.000
1990-02-01,350000.000
1990-03-01,346000.000
1990-04-01,363000.000
1990-05-01,359000.000
1990-06-01,364000.000
1990-07-01,369000.000
1990-08-01,394000.000
1990-09-01,404000.000
1990-10-01,440000.000
1990-11-01,462000.000
1990-12-01,454000.000
1991-01-01,462000.000
1991-02-01,499000.000
1991-03-01,499000.000
1991-04-01,462000.000
1991-05-01,443000.000
1991-06-01,418000.000
1991-07-01,423000.000
1991-08-01,425000.000
1991-09-01,437000.000
1991-10-01,423000.000
1991-11-01,444000.000
1991-12-01,441000.000
1992-01-01,441000.000
1992-02-01,444000.000
1992-03-01,420000.000
1992-04-01,424000.000
1992-05-01,411000.000
1992-06-01,420000.000
1992-07-01,564000.000
1992-08-01,408000.000
1992-09-01,409000.000
1992-10-01,365000.000
1992-11-01,341000.000
1992-12-01,313000.000
1993-01-01,340000.000
1993-02-01,362000.000
1993-03-01,366000.000
1993-04-01,350000.000
1993-05-01,349000.000
1993-06-01,340000.000
1993-07-01,356000.000
1993-08-01,337000.000
1993-09-01,343000.000
1993-10-01,348000.000
1993-11-01,337000.000
1993-12-01,290000.000
1994-01-01,406000.000
1994-02-01,327000.000
1994-03-01,322000.000
1994-04-01,344000.000
1994-05-01,348000.000
1994-06-01,341000.000
1994-07-01,332000.000
1994-08-01,341000.000
1994-09-01,325000.000
1994-10-01,331000.000
1994-11-01,329000.000
1994-12-01,319000.000
1995-01-01,324000.000
1995-02-01,336000.000
1995-03-01,332000.000
1995-04-01,365000.000
1995-05-01,374000.000
1995-06-01,358000.000
1995-07-01,351000.000
1995-08-01,359000.000
1995-09-01,355000.000
1995-10-01,377000.000
1995-11-01,379000.000
1995-12-01,359000.000
1996-01-01,387000.000
1996-02-01,365000.000
1996-03-01,393000.000
1996-04-01,343000.000
1996-05-01,343000.000
1996-06-01,337000.000
1996-07-01,327000.000
1996-08-01,329000.000
1996-09-01,348000.000
1996-10-01,352000.000
1996-11-01,332000.000
1996-12-01,357000.000
1997-01-01,340000.000
1997-02-01,322000.000
1997-03-01,325000.000
1997-04-01,337000.000
1997-05-01,321000.000
1997-06-01,322000.000
1997-07-01,306000.000
1997-08-01,332000.000
1997-09-01,317000.000
1997-10-01,306000.000
1997-11-01,318000.000
1997-12-01,303000.000
1998-01-01,315000.000
1998-02-01,317000.000
1998-03-01,312000.000
1998-04-01,311000.000
1998-05-01,322000.000
1998-06-01,376000.000
1998-07-01,335000.000
1998-08-01,310000.000
1998-09-01,294000.000
1998-10-01,308000.000
1998-11-01,310000.000
1998-12-01,336000.000
1999-01-01,305000.000
1999-02-01,301000.000
1999-03-01,298000.000
1999-04-01,291000.000
1999-05-01,303000.000
1999-06-01,291000.000
1999-07-01,300000.000
1999-08-01,290000.000
1999-09-01,306000.000
1999-10-01,285000.000
1999-11-01,288000.000
1999-12-01,268000.000
2000-01-01,285000.000
2000-02-01,280000.000
2000-03-01,272000.000
2000-04-01,291000.000
2000-05-01,280000.000
2000-06-01,296000.000
2000-07-01,298000.000
2000-08-01,312000.000
2000-09-01,292000.000
2000-10-01,301000.000
2000-11-01,356000.000
2000-12-01,353000.000
2001-01-01,362000.000
2001-02-01,386000.000
2001-03-01,388000.000
2001-04-01,406000.000
2001-05-01,405000.000
2001-06-01,394000.000
2001-07-01,388000.000
2001-08-01,395000.000
2001-09-01,517000.000
2001-10-01,483000.000
2001-11-01,491000.000
2001-12-01,421000.000
2002-01-01,414000.000
2002-02-01,398000.000
2002-03-01,479000.000
2002-04-01,414000.000
2002-05-01,403000.000
2002-06-01,386000.000
2002-07-01,390000.000
2002-08-01,394000.000
2002-09-01,409000.000
2002-10-01,409000.000
2002-11-01,377000.000
2002-12-01,409000.000
2003-01-01,407000.000
2003-02-01,421000.000
2003-03-01,436000.000
2003-04-01,444000.000
2003-05-01,431000.000
2003-06-01,429000.000
2003-07-01,398000.000
2003-08-01,407000.000
2003-09-01,387000.000
2003-10-01,379000.000
2003-11-01,357000.000
2003-12-01,349000.000
2004-01-01,376000.000
2004-02-01,348000.000
2004-03-01,340000.000
2004-04-01,339000.000
2004-05-01,337000.000
2004-06-01,348000.000
2004-07-01,341000.000
2004-08-01,352000.000
2004-09-01,351000.000
2004-10-01,332000.000
2004-11-01,335000.000
2004-12-01,320000.000
2005-01-01,331000.000
2005-02-01,314000.000
2005-03-01,342000.000
2005-04-01,334000.000
2005-05-01,340000.000
2005-06-01,311000.000
2005-07-01,316000.000
2005-08-01,318000.000
2005-09-01,359000.000
2005-10-01,322000.000
2005-11-01,311000.000
2005-12-01,302000.000
2006-01-01,282000.000
2006-02-01,293000.000
2006-03-01,295000.000
2006-04-01,321000.000
2006-05-01,330000.000
2006-06-01,309000.000
2006-07-01,311000.000
2006-08-01,314000.000
2006-09-01,309000.000
2006-10-01,328000.000
2006-11-01,349000.000
2006-12-01,341000.000
2007-01-01,308000.000
2007-02-01,322000.000
2007-03-01,307000.000
2007-04-01,301000.000
2007-05-01,310000.000
2007-06-01,317000.000
2007-07-01,305000.000
2007-08-01,329000.000
2007-09-01,317000.000
2007-10-01,328000.000
2007-11-01,352000.000
2007-12-01,360000.000
2008-01-01,366000.000
2008-02-01,354000.000
2008-03-01,387000.000
2008-04-01,370000.000
2008-05-01,362000.000
2008-06-01,392000.000
2008-07-01,434000.000
2008-08-01,442000.000
2008-09-01,483000.000
2008-10-01,480000.000
2008-11-01,529000.000
2008-12-01,533000.000
2009-01-01,629000.000
2009-02-01,652000.000
2009-03-01,665000.000
2009-04-01,620000.000
2009-05-01,607000.000
2009-06-01,594000.000
2009-07-01,587000.000
2009-08-01,564000.000
2009-09-01,554000.000
2009-10-01,522000.000
2009-11-01,475000.000
2009-12-01,468000.000
2010-01-01,496000.000
2010-02-01,488000.000
2010-03-01,459000.000
2010-04-01,449000.000
2010-05-01,458000.000
2010-06-01,464000.000
2010-07-01,476000.000
2010-08-01,467000.000
2010-09-01,459000.000
2010-10-01,453000.000
2010-11-01,432000.000
2010-12-01,404000.000
2011-01-01,420000.000
2011-02-01,385000.000
2011-03-01,399000.000
2011-04-01,468000.000
2011-05-01,418000.000
2011-06-01,421000.000
2011-07-01,406000.000
2011-08-01,409000.000
2011-09-01,406000.000
2011-10-01,399000.000
2011-11-01,397000.000
2011-12-01,376000.000
2012-01-01,372000.000
2012-02-01,365000.000
2012-03-01,358000.000
2012-04-01,372000.000
2012-05-01,381000.000
2012-06-01,372000.000
2012-07-01,372000.000
2012-08-01,377000.000
2012-09-01,376000.000
2012-10-01,364000.000
2012-11-01,388000.000
2012-12-01,362000.000
2013-01-01,366000.000
2013-02-01,342000.000
2013-03-01,375000.000
2013-04-01,331000.000
2013-05-01,353000.000
2013-06-01,340000.000
2013-07-01,334000.000
2013-08-01,325000.000
2013-09-01,319000.000
2013-10-01,347000.000
2013-11-01,312000.000
2013-12-01,332000.000
2014-01-01,343000.000
2014-02-01,342000.000
2014-03-01,332000.000
2014-04-01,344000.000
2014-05-01,313000.000
2014-06-01,310000.000
2014-07-01,303000.000
2014-08-01,301000.000
2014-09-01,289000.000
2014-10-01,290000.000
2014-11-01,292000.000
2014-12-01,286000.000
2015-01-01,287000.000
2015-02-01,318000.000
2015-03-01,269000.000
2015-04-01,268000.000
2015-05-01,276000.000
2015-06-01,277000.000
2015-07-01,267000.000
2015-08-01,278000.000
2015-09-01,271000.000
2015-10-01,274000.000
2015-11-01,266000.000
2015-12-01,277000.000
2016-01-01,291000.000
2016-02-01,271000.000
2016-03-01,274000.000
2016-04-01,280000.000
2016-05-01,265000.000
2016-06-01,265000.000
2016-07-01,267000.000
2016-08-01,260000.000
2016-09-01,245000.000
2016-10-01,264000.000
2016-11-01,262000.000
2016-12-01,238000.000
2017-01-01,254000.000
2017-02-01,235000.000
2017-03-01,253000.000
2017-04-01,242000.000
2017-05-01,253000.000
2017-06-01,243000.000
2017-07-01,243000.000
2017-08-01,238000.000
2017-09-01,254000.000
2017-10-01,234000.000
2017-11-01,239000.000
2017-12-01,248000.000
2018-01-01,234000.000
2018-02-01,217000.000
2018-03-01,242000.000
2018-04-01,211000.000
2018-05-01,223000.000
2018-06-01,0.000
